Num Prots	Num Annotations	PMID	Title	Year	Journal	Taxon ID	Num Used						
392	392	14671022	"Experimental analysis of the Arabidopsis mitochondrial proteome highlights signaling and regulatory components, provides assessment of targeting prediction programs, and indicates plant-specific mitochondrial proteins."	2004	The Plant cell	taxon:3702	392						
380	380	15539469	The vegetative vacuole proteome of Arabidopsis thaliana reveals predicted and unexpected proteins.	2004	The Plant cell	taxon:3702	380						
328	328	12938931	Proteomic study of the Arabidopsis thaliana chloroplastic envelope membrane utilizing alternatives to traditional two-dimensional electrophoresis.	2003	Journal of proteome research	taxon:3702	328						
305	312	18633119	Quantitative proteomics of a chloroplast SRP54 sorting mutant and its genetic interactions with CLPC1 in Arabidopsis.	2008	Plant physiology	taxon:3702	312						
260	260	16502469	The early responses of Arabidopsis thaliana cells to cadmium exposure explored by protein and metabolite profiling analyses.	2006	Proteomics	taxon:3702	260						
241	263	16287169	Arabidopsis cell wall proteome defined using multidimensional protein identification technology.	2006	Proteomics	taxon:3702	263						
338	338	20422638	The secreted proteome profile of developing Dictyostelium discoideum cells.	2010	Proteomics	taxon:44689	338				338	4545	7.436743674
1406	1863	14562095	Global analysis of protein localization in budding yeast.	2003	Nature	taxon:559292	1863				4180	34276	12.19512195
845	845	16823961	Toward the complete yeast mitochondrial proteome: multidimensional separation techniques for mitochondrial proteomics.	2006	Journal of proteome research	taxon:559292	845						
503	503	14576278	The proteome of Saccharomyces cerevisiae mitochondria.	2003	Proceedings of the National Academy of Sciences of the United States of America	taxon:559292	503						
498	638	16429126	Proteome survey reveals modularity of the yeast cell machinery.	2006	Nature	taxon:559292	638						
290	331	11914276	Subcellular localization of the yeast proteome.	2002	Genes & development	taxon:559292	331						
1791	5918	14551910	Genome-wide RNAi of C. elegans using the hypersensitive rrf-3 strain reveals novel gene functions.	2003	PLoS biology	taxon:6239	5915	taxon:6238	3		22364	42640	52.44840525
1205	1476	15791247	Full-genome RNAi profiling of early embryogenesis in Caenorhabditis elegans.	2005	Nature	taxon:6239	1476						
1101	2269	12529635	Systematic functional analysis of the Caenorhabditis elegans genome using RNAi.	2003	Nature	taxon:6239	2265	taxon:6238	4				
865	1533	15489339	Toward improving Caenorhabditis elegans phenome mapping with an ORFeome-based RNAi library.	2004	Genome research	taxon:6239	1532	taxon:6238	1				
607	661	17704769	Genome-wide analysis identifies a general requirement for polarity proteins in endocytic traffic.	2007	Nature cell biology	taxon:6239	660	taxon:6238	1				
553	884	11231151	Large-scale analysis of gene function in Caenorhabditis elegans by high-throughput RNAi.	2001	Current biology : CB	taxon:6239	884						
516	5972	17417969	Large-scale RNAi screens identify novel genes that interact with the C. elegans retinoblastoma pathway as well as splicing-related components with synMuv B activity.	2007	BMC developmental biology	taxon:6239	5972						
479	848	21529718	A high-resolution C. elegans essential gene network based on phenotypic profiling of a complex tissue.	2011	Cell	taxon:6239	845	taxon:6238	3				
392	639	12529643	Genome-wide RNAi analysis of Caenorhabditis elegans fat regulatory genes.	2003	Nature	taxon:6239	639						
383	917	12445391	Gene clustering based on RNAi phenotypes of ovary-enriched genes in C. elegans.	2002	Current biology : CB	taxon:6239	917						
285	761	11099033	Functional genomic analysis of C. elegans chromosome I by systematic RNA interference.	2000	Nature	taxon:6239	761						
283	499	11099034	Functional genomic analysis of cell division in C. elegans using RNAi of genes on chromosome III.	2000	Nature	taxon:6239	498	taxon:6238	1				
413	456	18433294	A microtubule interactome: complexes with roles in cell cycle and mitosis.	2008	PLoS biology	taxon:7227	456				1577	45836	3.440527097
244	397	17412918	Genes required for mitotic spindle assembly in Drosophila S2 cells.	2007	"Science (New York, N.Y.)"	taxon:7227	397						
242	397	18981222	Conservation of the protein composition and electron microscopy structure of Drosophila melanogaster and human spliceosomal complexes.	2009	Molecular and cellular biology	taxon:7227	397						
319	329	16336044	Identification of Drosophila gene products required for phagocytosis of Candida albicans.	2006	PLoS biology	taxon:7242	2	taxon:7227	327				
4937	11050	18029348	Toward a confocal subcellular atlas of the human proteome.	2008	Molecular & cellular proteomics : MCP	taxon:9606	11050				12027	72762	16.52923229
465	468	11256614	Systematic subcellular localization of novel proteins identified by large-scale cDNA sequencing.	2000	EMBO reports	taxon:9606	468						
343	509	16189514	Towards a proteome-scale map of the human protein-protein interaction network.	2005	Nature	taxon:9606	509						
